row	executable	role	counterpart	oracle	test	status	remaining
1	abstract_qswitch_oterm_e2e	positive	surface_programs.ml:cp_qswitch	oracle_legacy.ml:meta_qswitch_hs	run_counterparts	split-migrated	wire-level Apply of certified op values into the case-bodied abstract switch is refused by the canonical-normal-form AppCut/routing gates (recorded finding); instantiated content verified through the sugar instance
2	abstract_select_2_e2e	positive	surface_programs.ml:cp_select2_hs	oracle_legacy.ml:closed_select_2_hs,meta_z2_hs	run_counterparts	migrated	term-level curried branches stay Raw by design (open-branch sum map)
3	algorithms_e2e	positive	surface_programs.ml:cp_dj_constant,cp_dj_balanced,cp_hsp_2q	oracle_legacy.ml:dj_constant,dj_balanced,hsp_2q	run_counterparts	migrated	functor parameterization stays host-level over certified ops
4	ctrl_ho_eta_e2e	split	surface_programs.ml:cp_ctrl_z	oracle_legacy.ml:ctrl1_z	run_counterparts	split-migrated	Raw Guard-2 certification probe retained (backend/raw subject)
5	ctrl_lambda_e2e	split	surface_programs.ml:cp_qif_cnot,cp_ctrl2_x,cp_ctrl3_x	oracle_legacy.ml:ctrl1_x,ctrl2_x,ctrl3_x	run_counterparts	split-migrated	abstract lambda-f form is the open-branch sum map, excluded by design
6	curried_select_3_e2e	positive	surface_programs.ml:cp_select3_hst	oracle_legacy.ml:meta_z3_hst	run_counterparts	migrated	term-level currying over function wires stays Raw by design
7	curried_select_3_ndist_e2e	positive	surface_programs.ml:cp_select3_hst	oracle_legacy.ml:meta_z3_hst	run_counterparts	migrated	n-dist internals are backend, invisible from the surface
8	datatype_demo	positive	surface_programs.ml:bool2,g8,cp_bool2_hx	oracle_legacy.ml:meta_z2_hx	run_counterparts	migrated	opaque named datatype primitive ops and JSON dumps stay legacy harness
9	dist_l_naturality_probe	split	surface_programs.ml:cp_dist_pl	oracle_legacy.ml:p_l_raw	run_counterparts	split-migrated	naturality equality itself is the documented LIMITATIONS-6 backend gap
10	dist_unequal_width_probe	split	surface_programs.ml:cp_dist_unequal	oracle_legacy.ml:dist_unequal_raw	run_counterparts	split-migrated	gate-listing layout inspection stays backend harness
11	dump_abstract_qswitch	positive	surface_programs.ml:cp_qswitch	oracle_legacy.ml:meta_qswitch_hs (via row-1 checks); JSON dump is host harness	run_counterparts	migrated	Bridge.term_to_json dump stays host harness
12	dump_select_5_inst	positive	surface_programs.ml:cp_select5_hstxy	oracle_legacy.ml:meta_z5_hstxy	run_counterparts	migrated	JSON dump stays host harness
13	exp_swap_T3_e2e	positive	surface_programs.ml:cp_exp_swap12,cp_exp_swap23 (+ squares, halves, non-commutation pair)	oracle_legacy.ml:t3_e12_pi4,t3_e23_pi4	run_counterparts	migrated	-
14	exp_twist_e2e	split	surface_programs.ml:cp_exp_twist,cp_exp_twist_sq,cp_exp_twist_plus	oracle_legacy.ml:exp_twist_single,exp_twist_half_pi,exp_twist_plus_raw	run_counterparts	migrated	plus-swap exponential expressed through the two-label datatype involution
15	n_plusmap_e2e	positive	surface_programs.ml:cp_select3_hst,cp_select5_hstxy	oracle_legacy.ml:meta_z3_hst,meta_z5_hstxy	run_counterparts	migrated	-
16	nested_apply_e2e	positive	surface_programs.ml:cp_compose2,cp_compose3,cp_compose4	oracle_legacy.ml:meta_hs,meta_hh,meta_hst,meta_hstx	run_counterparts	migrated	-
17	nested_select_e2e	split	surface_programs.ml:cp_select4_hstx,cp_select4_xthx,cp_select4_hhss	oracle_legacy.ml:meta_z4_hstx,meta_z4_xthx,meta_z4_hhss	run_counterparts	split-migrated	nested open-branch PlusMap mechanism retained as Raw test
18	phased_map_probe_e2e	split	surface_programs.ml:cp_phase_mark,cp_phase_mark_sq,cp_phase_mark_i4,cp_phased_select,cp_phased_single_sq	oracle_legacy.ml:phase_mark_raw,bq_id,phased3_raw	run_counterparts	migrated	per-label phased dispatch derived from Op.phase composed into select branches; hidden-primitive backend probes retained
19	qif_cnot_verify_e2e	positive+reject	surface_programs.ml:cp_qif_cnot + reject_reading_b.ml	oracle_legacy.ml:qif_apply,ctrl1_x	run_counterparts + source_frontend_harness	migrated	Raw rejection harness retained as defense in depth
20	qs2_dummy_sim_e2e	positive	surface_programs.ml:cp_qs2_r,cp_qs2_round,cp_qs2_sim	oracle_legacy.ml:qs2_r_op,qs2_round_op,qs2_sim	run_counterparts	migrated	surface split-of-sealed-application pipeline form is refused by the relational SeqCut authority (recorded finding); simulator expressed as certified coherence composition instead
21	qs3_pn_dummy_sim_e2e	split	surface_programs.ml:cp_qs3_target,cp_qs3_sim,qs3_swap3	oracle_legacy.ml:qs3_target_only_ctrl,qs3_swap_3	run_counterparts	split-migrated	full 7-qubit sim unitary equality stays in retained demo (2^14 lam simulation is out of budget); counterpart sim compiles with pinned facts
22	qswitch_eta_endoQ_e2e	positive	surface_programs.ml:cp_qswitch_eta_endoq	oracle_legacy.ml:both_h_raw	run_counterparts	migrated	shares the row-1 Apply-of-op-values finding for endo-op instantiation
23	qswitch_eta_expansion_e2e	positive	surface_programs.ml:cp_qswitch,cp_qswitch_qq_cx,cp_qswitch_qbool_not,cp_qswitch_bq,cp_qswitch_idid	oracle_legacy.ml:qswitch_generic	run_counterparts	migrated	shares the row-1 Apply-of-op-values finding
24	qswitch_instantiated_e2e	positive	surface_programs.ml:cp_qswitch_hs,cp_qswitch_xz,cp_qswitch_hy,cp_qswitch_hh,cp_qswitch_rz,cp_qswitch_composed,cp_qswitch_triple	oracle_legacy.ml:qswitch	run_counterparts	migrated	-
25	reader_qif_ocaml_attempt	reject	reject_reader_qif.ml	first-order restriction diagnostic	source_frontend_harness	migrated	Raw construction/compiler-rejection regression retained as internal oracle
26	short_circuit_e2e	positive	surface_programs.ml:w3,cp_w3_toggle,cp_ctrl_w,cp_and_sc	oracle_legacy.ml:toggle_w_raw,ctrl_w_raw,and_sc_raw	run_counterparts	migrated	concrete Qudit(3) witness; the paper general Aux + QBool with nontrivial Aux is broader and not claimed
27	source_datatype_e2e	positive	surface_programs.ml:cp_three	oracle_sealed.ml:three_program	run_counterparts	migrated	-
